story_title,story_id,genre_id,genre_name,filename,prompt,negative_prompt,aspect_ratio,logline
"The Three Little Pigs","pigs","11","Solarpunk","pigs_11_solarpunk.webp","Solarpunk illustration: three anthropomorphic pig artisans in linen tunics stand before three living homes — woven thatch dome, mycelium-grown longhouse, living masonry tower threaded with climbing vines — all energy-positive. A reformed anthropomorphic wolf in herbalist garb arrives with a teapot. Lush greenery, gold-hour sunlight, terracotta and sage palette, communal warmth, hopeful optimism, Ghibli sensibility. Square frame.","industrial, dystopian, grey, hostile, text","1:1","Three pig artisans weave homes of thatch, mycelium, and living masonry. A reformed wolf arrives to share tea."
"The Three Little Pigs","pigs","12","High Fantasy","pigs_12_high-fantasy.webp","High fantasy book cover illustration: three anthropomorphic pig brothers in studded leather, plate armor, and dwarven mail stand before three magical dwellings — a golden-hay yurt glowing with sigils, a runed oak hall, a dwarven brick keep cut into a mountainside. A werewolf knight in black armor with a crimson cape rides a warhorse under a blood moon. Jewel tones, dragon silhouette in the sky, sword-and-sorcery majesty. Square frame.","modern, technology, urban, text","1:1","Three pig brothers each enchant a magical material — golden hay, runed oak, dwarven brick. A werewolf knight rides at the blood moon."
"The Three Little Pigs","pigs","13","Anime","pigs_13_anime.webp","Anime cel-shaded illustration: three anthropomorphic pig friends in school uniforms with distinct hairstyles strike dynamic stances before three escalating dorms — straw shack, wood barracks, concrete training-hall. Wolf-senpai, taller, white-haired, eyes glowing, channels a wind technique in the foreground, motion lines radiating. Cherry blossoms drifting, vibrant cel-shading, big expressive eyes, Ghibli-meets-shonen palette. Square frame.","photorealism, western comic, dull colors, text","1:1","Three pig friends defend their dorms with martial arts and sweat. Wolf-senpai has a tragic backstory and a wind technique."
"The Three Little Pigs","pigs","14","Superhero Comic","pigs_14_superhero.webp","Superhero comic splash page: three anthropomorphic pig brothers in color-coded power armor — straw-light yellow, stick-medium green, brick-heavy crimson — strike heroic poses before their escalating fortified bases. Big Bad Wolf, supervillain in jagged onyx armor with a sonic-canon chest piece, inhales for a city-shattering huff. Halftone dots, Kirby crackle energy, bold primary colors, dynamic Lee-style inking, dramatic camera angle. Square frame.","photorealism, soft, romantic, muted colors, text","1:1","Three pig brothers in color-coded power armor face Wolf, a supervillain who huffs and puffs with sonic lungs."
"The Three Little Pigs","pigs","15","Silent Film","pigs_15_silent-film.webp","Silent film still: three anthropomorphic pig brothers in oversized overalls and bowler hats mug at the camera before three exaggerated tiny dwellings — straw bundle, stick pile, brick cube. A vaudeville wolf in tuxedo and top hat mimes knocking, door already exploding into splinters mid-frame. High-contrast sepia monochrome, iris-vignette edges, 1920s slapstick energy, hand-painted matte backdrop. Square frame.","color, modern, photorealism, sharp digital edges, text","1:1","Iris opens on three pigs building tiny dwellings, mugging at the camera. Wolf mimes a knock; the door explodes in splinters."
"The Three Little Pigs","pigs","16","1950s Suburban Mystery","pigs_16_suburban-mystery.webp","1950s suburban mystery illustration: three anthropomorphic pig families in cardigans and gingham dresses pose on the lawns of three identical pastel-pink, mint, and brick-red ranch houses on Wolfsbane Lane. A wolf-shaped shadow stretches from the brickwork of the third house, hollowing it out from inside. Picket fences, manicured lawns, Pleasantville palette with sinister undercurrent, Blue Velvet color logic. Square frame.","futuristic, fantasy, magical, text","1:1","Three pig families move into identical pastel ranches on Wolfsbane Lane. Something hollows out the brickwork from inside."
"The Three Little Pigs","pigs","17","Cold War Spy","pigs_17_cold-war-spy.webp","Cold war espionage illustration: three anthropomorphic pig agents in grey trench coats stand at three checkpoints of divided Berlin — a wooden guard shack, a brick wall section, a concrete observation tower — sodium-lamp fog. A wolf-coded defector in a long coat passes a folded envelope under a streetlight. Le Carré atmosphere, muted greys and amber sodium light, period-correct East German signage. Square frame.","modern technology, fantasy, color saturation, text","1:1","Three pig agents run safehouses in three sectors of divided Berlin. A wolf-coded defector turns out to be the asset."
"The Three Little Pigs","pigs","18","True Crime Doc","pigs_18_true-crime.webp","True crime documentary still: VHS camcorder-grain re-enactment showing three anthropomorphic pig brothers, separately portrayed in handheld talking-head shots, before low-resolution photos of their three dwellings — straw, stick, brick — taped to a corkboard with police-tape yellow string connecting them. A retired wolf-detective in shadow refuses the camera. Low-light, blue-and-yellow evidence palette, timestamp burn-in, 1990s docu-realism. Square frame.","glossy, hi-fidelity, fantasy, vibrant colors, text","1:1","Camcorder talking heads recall the three Pig brothers, last seen alive. Detective Wolfe, retired, refuses to speak on camera."
"The Three Little Pigs","pigs","19","Courtroom Drama","pigs_19_courtroom.webp","Courtroom drama oil-painting illustration: three anthropomorphic pig plaintiffs in modest suits sit at a mahogany plaintiff's table; three labeled exhibits A, B, C — a jar of straw ash, a bundle of splintered sticks, an intact brick — rest on the evidence rail. A composed anthropomorphic wolf in a sharp three-piece suit takes the witness stand under brass-rail lighting. Mahogany, brass, judicial gravitas, oil-painting realism. Square frame.","modern casual, cartoon, sci-fi, text","1:1","Three pig plaintiffs sue the Wolf for property damage. Exhibits: ashes of straw, splinters of stick, intact brick. The Wolf takes the stand."
"The Three Little Pigs","pigs","20","Romance","pigs_20_romance.webp","Romance novel cover illustration: three anthropomorphic pig sisters in flowing summer dresses stand on the porches of three escalating bed-and-breakfasts — straw-bale cottage, timber inn, brick manor — under golden-hour light. A handsome anthropomorphic wolf stranger in a linen shirt approaches with a small suitcase, looking over his shoulder. Soft focus, rose-gold and ivory palette, longing glances, Pre-Raphaelite sensibility. Square frame.","horror, dark, threatening, text","1:1","Three pig sisters open a bed-and-breakfast trio. A handsome stranger with wolfish eyes books all three rooms."
"The Three Little Pigs","pigs","21","Heist","pigs_21_heist.webp","Heist movie poster illustration: three anthropomorphic pig specialists — driver in leather jacket, demolitions expert with goggles, safecracker with stethoscope — stand before three blueprint overlays of escalating vaults: straw-grade, stick-grade, brick-grade. An anthropomorphic wolf in a sharp suit, the inside man, watches from a glass-walled office above. Ocean's Eleven palette, neon vault interiors bleeding through blueprints. Square frame.","rustic, primitive, fantasy creatures, text","1:1","Three pig specialists — driver, demolitions, safecracker — case three vault types. The wolf is the inside man."
"The Three Little Pigs","pigs","22","Detective Mystery","pigs_22_detective.webp","Detective mystery illustration: a single hard-boiled anthropomorphic detective in a long coat examines three crime scenes — three intact dwellings of straw, sticks, and brick, each with the three pig brothers laid out neatly inside. A magnifying glass reveals wolf hairs and breath residue on a porcelain teacup with two sets of prints. Foggy sepia palette, red string between clues, Holmesian atmosphere. Square frame.","cheerful, romantic, bright colors, text","1:1","Three pig brothers found dead in three intact homes. A detective traces wolf hair, breath residue, and a teacup with two prints."
"The Three Little Pigs","pigs","23","Survival / Wilderness","pigs_23_survival.webp","Wilderness survival illustration: three anthropomorphic pig brothers in furs and frostbite stand before three primitive shelters in deep snow — caribou-hide tent, driftwood lean-to, packed-snow igloo. A timber wolf, gaunt and patient, circles at the treeline, ribs visible, breath crystallizing. Alpine peaks, frozen river, bleak whites and steel blues, The Revenant atmosphere. Square frame.","tropical, urban, comfortable, text","1:1","Three pig brothers stranded in a frozen tundra build shelters of caribou hide, driftwood, and packed snow. A timber wolf circles, patient as winter."
"The Three Little Pigs","pigs","24","Slapstick Cartoon","pigs_24_slapstick.webp","Tex Avery-style slapstick cartoon: three anthropomorphic pig brothers in bowler hats hammering together houses of straw, sticks, and brick that visibly collapse on contact. A tuxedoed anthropomorphic wolf inhales so violently he launches into orbit, eyes bulging, anvil falling toward him from above. Rubber-hose limbs, squash and stretch, primary colors, dust clouds. Square frame.","photorealism, serious, muted, text","1:1","Three pig brothers in bowler hats hammer houses that collapse on contact. A tuxedoed wolf huffs himself into orbit."
"The Three Little Pigs","pigs","25","Mythic Epic","pigs_25_mythic-epic.webp","Mythic epic painting: three anthropomorphic pig demigods in laurel crowns and bronze breastplates stand before three escalating temples of reed, oak, and quarried marble on three terraced hills. A storm-cloaked wolf-god with eyes of lightning descends the storm-summit, jealous of mortal pride. Golden-hour Aegean light, Homeric grandeur, fresco-style with painterly cracks, deities and mortals in a single frame. Square frame.","modern, casual, mundane, text","1:1","Three pig demigods raise temples of reed, oak, and quarried marble. A wolf-god, jealous of mortal pride, descends from the storm-summit."
"Little Red Riding Hood","red","01","Original Fairy Tale","red_01_original.webp","Storybook woodcut illustration: a young girl in a vivid red cloak with hood, basket of cakes over one arm, pauses on a wooded path of birches and oaks. A grinning anthropomorphic wolf in a tattered cloak peers from behind a tree. In the distance, a thatched cottage with smoke rising. Hand-painted watercolor wash, warm sepia and forest-green, Brothers Grimm engraving sensibility. Square frame.","text, signature, watermark, modern, photorealism","1:1","A girl in a red hood crosses the woods with cakes for grandmother. The wolf reaches the cottage first and dresses in nightclothes."
"Little Red Riding Hood","red","02","Film Noir","red_02_noir.webp","Film noir still: a young woman with red hair in a crimson trench coat passes through fog under a wrought-iron streetlamp; tenement door cracks open ahead. A wolf-figure in a grey suit lurks just inside, wearing round wire spectacles. High-contrast black-and-white with red coat as single color accent, venetian-blind shadows, cigarette smoke, 1940s pulp atmosphere. Square frame.","color saturation, daylight, cheerful, text","1:1","A redhead in a crimson trench coat slips through fog to a tenement. A wolf in a gray suit is already inside, wearing grandmother's spectacles."
"Little Red Riding Hood","red","03","Cosmic Horror","red_03_cosmic-horror.webp","Eldritch horror illustration: a small girl in a blood-red cloak walks a petrified forest of black-glass trees beneath a violet sky bleeding stars. Ahead, a cottage door opens on a grandmother figure smiling with too many concentric teeth, eyes glowing. Sickly green and violet, non-Euclidean cottage geometry, Lovecraftian dread, ink and watercolor washes. Square frame.","cute, friendly, bright, warm, text","1:1","A girl in a blood-red cloak walks the petrified forest. Grandmother is already there, smiling with too many teeth."
"Little Red Riding Hood","red","04","Gothic Horror","red_04_gothic.webp","Gothic oil painting: a pale young woman in scarlet velvet cloak crosses moonlit moors toward a fog-bound manor, one window lit yellow. A wolf-shaped shadow with glowing eyes paces the gravel drive. Candelabras visible through a window. Claret reds, bone whites, deep teals, Goya-meets-Bronte sensibility, lingering dread. Square frame.","bright, modern, cartoon, text","1:1","A pale girl in scarlet velvet crosses moors to a fog-bound manor. The wolf has been the family curse for generations."
"Little Red Riding Hood","red","05","Steampunk","red_05_steampunk.webp","Steampunk illustration: a young woman in a brass-buttoned red riding coat and goggles steers a brass-and-leather velocipede along a clockwork forest path of geared trees. A wolf-engineer in pressurized boilersuit and crimson scarf emerges from the underbrush. A pneumatic cottage with steam-jet chimney rises in the distance. Sepia-and-verdigris palette, vintage scientific plate aesthetic. Square frame.","plastic, modern electronics, neon, text","1:1","A girl in a brass-buttoned red coat steams through clockwork woods on a velocipede. A wolf-engineer ambushes her near grandmother's pneumatic cottage."
"Little Red Riding Hood","red","06","Cyberpunk","red_06_cyberpunk.webp","Cyberpunk concept art: a young delivery courier in a red LED-trimmed hoodie weaves a cargo-bike through rain-slick neon back-alleys, a small package labeled MEMORY-CAKE in her basket. Ahead, an apartment door is cracked open; a wolf-class assassin with chrome implants waits inside, silenced pistol drawn. Hot pink and electric cyan, holographic ads, Blade Runner palette. Square frame.","natural, daylight, rustic, text","1:1","A delivery courier in a red hoodie weaves neon alleys with a memory-cake for grandmother's apartment. A wolf-class assassin is already in the unit."
"Little Red Riding Hood","red","07","Space Opera","red_07_space-opera.webp","Space opera concept art: a young cadet in a red flight jacket pilots a small one-person courier ship between drifting asteroids toward a battered mining station with a red beacon. A wolf-class pirate ship is already docked, hull scarred, airlock cycling. Sapphire-and-magenta nebulae, hard sci-fi detail, lens flare from a distant sun. Square frame.","earth, fantasy creatures, magic, text","1:1","A cadet in a red flight jacket pilots between asteroids to grandmother's mining station. A wolf-pirate has docked first."
"Little Red Riding Hood","red","08","Western","red_08_western.webp","Western painted illustration: a young woman in a red shawl over a calico dress rides a sorrel mare down a scrubland trail toward a weathered homestead at sunset. A wolfish drifter in a dead man's wide-brimmed hat sits on the porch sipping coffee, revolver loose in its holster. Ochre and rust palette, John Ford framing, dust devils, mesa silhouette. Square frame.","futuristic, urban, neon, text","1:1","A young woman in a red shawl rides to grandmother's homestead. A wolfish drifter in a dead man's hat sips coffee on the porch."
"Little Red Riding Hood","red","09","Post-Apocalyptic","red_09_post-apocalyptic.webp","Post-apocalyptic concept art: a young scavenger in a faded red windbreaker picks her way through the cracked asphalt of ruined suburbs, baseball bat slung over her shoulder, basket of canned goods. A reinforced bunker door ahead stands ajar; a mutant raider in wolf-skull mask waits inside. Ash-grey sky, rust and bone palette, Mad Max sensibility. Square frame.","pristine, optimistic, bright colors, text","1:1","A girl in a faded red windbreaker scavenges through ruined suburbs to grandmother's shelter. The wolf is a mutant raider already inside."
"Little Red Riding Hood","red","10","Dystopian","red_10_dystopian.webp","Dystopian propaganda-poster illustration: Subject R-7, a young woman in regulation-red hooded cloak, walks past surveillance drones along a brutalist concrete corridor toward Apartment 47. Wolf-Officer 12 stands at the door in mirrored visor and crimson armband, scanning a holographic authorization badge. Monochrome with single red accent, blood-red banners overhead, 1984 atmosphere. Square frame.","ruined, post-apocalyptic, warm light, freedom, text","1:1","Subject R-7 in regulation-red walks to grandmother's flat. Wolf-Officer 12 awaits, wearing grandmother's authorization badge."
"Little Red Riding Hood","red","11","Solarpunk","red_11_solarpunk.webp","Solarpunk illustration: a young child in a red harvest cloak bicycles through a tunnel of vine-draped trellises, a basket of fresh bread in front. A reformed anthropomorphic wolf in herbalist robes greets her at a solar-thatched cottage with a steaming teapot. Gold-hour sunlight, lush green and terracotta palette, Ghibli sensibility, communal warmth. Square frame.","industrial, dystopian, hostile, grey, text","1:1","A child in a red harvest cloak bicycles bread along a green-tunnel path. A reformed wolf accepts an invitation to tea."
"Little Red Riding Hood","red","12","High Fantasy","red_12_high-fantasy.webp","High fantasy book cover illustration: a young apprentice mage in a red enchanted hood with embroidered sigils walks an ensorcelled forest path of glowing mushrooms. A werewolf knight in black armor with a crimson cape bars the way, longsword drawn. A retired battlemage grandmother visible in the distance at a stone cottage, casting wards. Jewel tones, dragon shadow overhead. Square frame.","modern, technology, urban, text","1:1","An apprentice mage in a red enchanted hood crosses an ensorcelled wood to grandmother, a retired battlemage. A werewolf knight bars the path."
"Little Red Riding Hood","red","13","Anime","red_13_anime.webp","Anime cel-shaded illustration: a pink-haired girl in a red school cape sprints through a tunnel of falling cherry blossoms, lunchbox in hand. Wolf-kun, taller, white-haired, eyes glowing, stands at the path's bend with arms crossed. Dynamic motion lines, vibrant cel-shading, big expressive eyes, Ghibli-meets-shonen palette. Square frame.","photorealism, western comic, dull colors, text","1:1","A pink-haired girl in a red cape sprints through cherry-blossom woods, late to grandmother's. Wolf-kun waits, but she has unlocked a hidden technique."
"Little Red Riding Hood","red","14","Superhero Comic","red_14_superhero.webp","Superhero comic splash page: Red Hood, teenage vigilante in a scarlet hooded combat suit with utility belt, swings between brownstones of Wolfsbane City on a grappling line. Big Bad Wolf, supervillain in jagged onyx armor, holds civilians hostage on a rooftop including a kind-faced grandmother. Halftone dots, Kirby crackle energy, dynamic angles, bold primary colors. Square frame.","photorealism, soft romance, muted colors, text","1:1","Red Hood, teen vigilante in scarlet, swings through Wolfsbane City. Big Bad Wolf has taken hostages — gran included."
"Little Red Riding Hood","red","15","Silent Film","red_15_silent-film.webp","Silent film still: a young woman in a black-and-white but clearly red-toned cloak skips along a hand-painted forest backdrop, basket on arm. A vaudeville wolf in tuxedo and top hat mimes leaping into a small bed, donning a frilly cap that keeps slipping. High-contrast sepia monochrome, iris-vignette edges, 1920s slapstick energy. Square frame.","color, photorealism, sharp digital, text","1:1","Iris on a girl in a black-and-white-but-clearly-red cloak. Wolf mugs at camera, dons cap, leaps into bed."
"Little Red Riding Hood","red","16","1950s Suburban Mystery","red_16_suburban-mystery.webp","1950s suburban mystery illustration: a young girl in a bright red Sunday coat walks the sidewalk of a pastel suburban block past identical split-level homes with manicured lawns. A man in a crisp white milkman uniform watches from a porch, smile too wide, eyes too sharp. Picket fences, Pleasantville palette with sinister undercurrent, Blue Velvet color logic. Square frame.","fantasy, futuristic, magical, text","1:1","A girl in a red Sunday coat walks two suburban blocks to grandmother's split-level. The wolf is the milkman — who hasn't been the milkman for some time."
"Little Red Riding Hood","red","17","Cold War Spy","red_17_cold-war-spy.webp","Cold war espionage illustration: Operative Red, a young woman in a crimson wool coat, crosses Checkpoint Charlie carrying a paper-wrapped box of cakes (microfilm inside). A wolf-handler in a grey trench coat — wearing what appears to be grandmother's tweed coat — waits across the line under sodium-lamp fog. Le Carré atmosphere, muted greys and amber. Square frame.","modern technology, fantasy, color saturation, text","1:1","Operative Red crosses a Berlin checkpoint in a crimson coat with cakes-shaped microfilm. A wolf-handler wears grandmother's coat."
"Little Red Riding Hood","red","18","True Crime Doc","red_18_true-crime.webp","True crime documentary still: VHS camcorder-grain forest CCTV showing a young woman in a red cloak from behind, walking toward distant trees. A second frame shows a cottage doorframe with a wolf tooth embedded in the wood, photo-stamped EXHIBIT 7. A detective talking head explains the case. Low-light, blue-and-yellow evidence palette, timestamp burn-in, 1990s docu-realism. Square frame.","glossy, fantasy, vibrant, text","1:1","Re-enactment grain: girl in red last seen on woodland CCTV. The wolf left a tooth in the doorframe. Grandmother's body was never recovered."
"Little Red Riding Hood","red","19","Courtroom Drama","red_19_courtroom.webp","Courtroom drama oil-painting illustration: a young woman in a modest red coat sits in the witness box, taking an oath. The anthropomorphic wolf defendant in a sharp suit sits at the defense table, head bowed. A pair of round spectacles labeled EXHIBIT A on the evidence rail. Mahogany, brass rails, judicial gravitas, oil-painting realism. Square frame.","modern casual, cartoon, sci-fi, text","1:1","The Wolf stands trial for impersonation, identity theft, and aggravated grandmotherhood. The girl in red, sole witness, takes the stand."
"Little Red Riding Hood","red","20","Romance","red_20_romance.webp","Romance novel cover illustration: a young woman in a flowing red riding cloak is approached on a sun-dappled forest path by a tall handsome stranger in dark riding leathers with wolfish gray eyes. In the distance, a thatched cottage with smoke and a kind-faced grandmother smiling at the door. Soft focus, golden-hour light, longing glance, Pre-Raphaelite sensibility. Square frame.","horror, threatening, dark, text","1:1","A young woman in a red riding cloak is charmed by a stranger on the path. Grandmother, at the cottage, simply pours three cups."
"Little Red Riding Hood","red","21","Heist","red_21_heist.webp","Heist movie poster illustration: a young cat-burglar in a red catsuit and hood scales the wall of a Beaux-Arts mansion, blueprint overlay visible in the corner showing the vault. A rival thief in wolf-gray tactical gear has already dropped through the skylight, prying open a velvet-lined case containing a family heirloom. Ocean's Eleven palette. Square frame.","rustic, primitive, fantasy creatures, text","1:1","A cat-burglar in red infiltrates grandmother's mansion-vault for an heirloom. A rival thief in wolf-gray got there first."
"Little Red Riding Hood","red","22","Detective Mystery","red_22_detective.webp","Detective mystery illustration: a teenage girl in a red coat, magnifying glass in hand, examines a footprint at the threshold of a mist-bound cottage. A clue board behind her shows photos and red string. A wolf in a striped prison jumpsuit is glimpsed in an inset panel insisting on his innocence. Foggy sepia palette, Holmesian atmosphere. Square frame.","cheerful, romantic, bright, text","1:1","A teen sleuth in red follows clues through misty woods. Grandmother is missing. The wolf insists he is innocent from behind bars."
"Little Red Riding Hood","red","23","Survival / Wilderness","red_23_survival.webp","Wilderness survival illustration: a young woman in a bright red parka treks an alpine pass through chest-deep snow toward a remote log cabin with a cold chimney in the distance. A timber wolf pack tracks her from a ridgeline, breath crystallizing. Frozen river below, bleak whites and steel blues, The Revenant atmosphere. Square frame.","tropical, urban, comfortable, text","1:1","A girl in a red parka treks the alpine pass to grandmother's remote cabin. A timber wolf pack tracks her; the chimney has been cold for hours."
"Little Red Riding Hood","red","24","Slapstick Cartoon","red_24_slapstick.webp","Tex Avery-style slapstick cartoon: a young girl in a red hood bumbles down a forest path dropping cakes from a basket, eyes wide. A tuxedoed wolf scrambles to put on a frilly cap and oversized wig that keeps flipping off. An anvil falls from a tree branch. Rubber-hose limbs, squash and stretch, primary colors, dust clouds. Square frame.","photorealism, serious, muted, text","1:1","A girl in a red hood bumbles down a path dropping cakes. A tuxedoed wolf disguises in a wig that keeps falling off. Anvils ensue."
"Little Red Riding Hood","red","25","Mythic Epic","red_25_mythic-epic.webp","Mythic epic painting: a maiden in sacred crimson robes and bronze laurel circlet crosses a threshold-forest of pillared cypress, an offering bowl in hand. A wolf-spirit, child of a forgotten god, manifests as a translucent giant claiming both the offering and the maiden as fated. Golden-hour Aegean light, fresco-style cracks, Homeric grandeur. Square frame.","modern, mundane, casual, text","1:1","A maiden in sacred crimson crosses the threshold-forest with offerings to a forest crone. A wolf-spirit claims the offering — and the maiden."
"Goldilocks & the Three Bears","goldilocks","01","Original Fairy Tale","goldilocks_01_original.webp","Storybook woodcut illustration: a golden-haired young girl in a blue pinafore sits in the smallest of three nested chairs in a rustic cottage interior. Three bowls of porridge steaming on a wooden table, three differently sized beds visible through a doorway. A father, mother, and baby bear visible through the front window, returning. Hand-painted watercolor, warm sepia, Brothers Grimm sensibility. Square frame.","text, signature, watermark, modern, photorealism","1:1","A golden-haired girl wanders into a cottage with three bowls of porridge, three chairs, three beds. The bears come home."
"Goldilocks & the Three Bears","goldilocks","02","Film Noir","goldilocks_02_noir.webp","Film noir still: a platinum-blonde woman in a fur-trimmed coat sits gingerly in a small armchair in a smoke-stained Art Deco townhouse, holding a coffee cup that steams. A larger chair beside her shows clear damage. Three anthropomorphic bears in fedoras and trench coats are visible through the half-open door, returning early. High-contrast B&W with one red lipstick accent, venetian-blind shadows. Square frame.","color saturation, cheerful, daylight, text","1:1","A platinum blonde breaks into a smoke-stained townhouse — a coffee too hot, a chair that snaps, a bed too soft. Three bears in fedoras get home early."
"Goldilocks & the Three Bears","goldilocks","03","Cosmic Horror","goldilocks_03_cosmic-horror.webp","Eldritch horror illustration: a pale young woman with golden hair like sunlight stands in a non-Euclidean cabin where three bowls, three chairs, three beds sit — and yet a fourth set of each persists at the edges of vision, never quite countable. Three bear-shaped figures with too many limbs approach from the wood. Sickly green and violet palette, Lovecraftian dread. Square frame.","cute, friendly, bright, warm, text","1:1","A pale girl crosses the threshold of a cabin where three of everything sits — yet a fourth chair, fourth bowl, fourth bed wait. The bears are not bears."
