story_id,genre_id,genre,filename,prompt
pigs,15,Silent Film,pigs_15_silent-film.webp,"1920s silent-film frame, black and white, film grain, iris vignette, exaggerated pantomime: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow tiny and theatrical, the wolf a mustache-twirling villain in a bowler hat. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,16,1950s Suburban Mystery,pigs_16_suburban-mystery.webp,"1950s retro magazine-ad illustration, pastel mint and buttercup, one wrong shadow, pristine suspense: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as identical pastel ranch houses on a manicured lane, the wolf a smiling neighbor with too many teeth. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,17,Cold War Spy,pigs_17_cold-war-spy.webp,"Cold War spy-thriller painting, cold grays and greens, divided-Berlin tradecraft, one warm lamp: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as safehouses in three sectors, the wolf a gray-coated defector. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,18,True Crime Doc,pigs_18_true-crime.webp,"True-crime documentary reconstruction in the grounded journalistic style of In Cold Blood: the ruins of a straw house and a stick house documented as a crime scene beside an intact brick house, numbered yellow evidence markers, a plainclothes detective in a rumpled overcoat taking notes, a surviving pig giving a statement, the wolf questioned matter-of-factly as the suspect. Muted realistic color, natural light, flat factual tone; no horror, no dread. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,19,Courtroom Drama,pigs_19_courtroom.webp,"Courtroom-drama oil painting, wood-paneled courtroom, gaslight sconces, honey-and-oak, high drama: three pig plaintiffs present exhibits -- a bag of straw ash and a box of splinters -- while the wolf sits in the witness box under oath, a scale model of the brick house on the evidence table. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,20,Romance,pigs_20_romance.webp,"Romance-novel-cover illustration, golden-hour glow, wind-blown fabric, painterly swirl: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow in a warm meadow at sunset, the heartbroken wolf arriving as a friend rather than a foe. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,21,Heist,pigs_21_heist.webp,"Heist-film concept art, cool blues, slick lighting, faint red laser grid: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as three escalating vaults, the wolf a slick inside-man in a gray suit. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,22,Detective Mystery,pigs_22_detective.webp,"Classic detective-mystery illustration, foggy London greys, pipe-smoke and gaslight: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow treated as a case, a pig detective with a magnifying glass, the wolf a shadowy figure with a locket. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,23,Survival Wilderness,pigs_23_survival.webp,"Survival-wilderness painting, snowbound tundra, deep blue night, one warm lantern: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow built of caribou hide, driftwood, and packed snow, a lean timber wolf circling patiently. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,24,Slapstick Cartoon,pigs_24_slapstick.webp,"Frantic 1940s slapstick cartoon, rubber-hose limbs, motion smears, impossible physics: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as flimsy comedic houses, a tuxedoed wolf inhaling the whole sky to huff. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,25,Mythic Epic,pigs_25_mythic-epic.webp,"Mythic fresco painting, gold leaf, terracotta and lapis, epic solemnity: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as temples of reed, oak, and quarried marble, the wolf a jealous storm-god descending from the summit. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,26,Science Fiction,pigs_26_science-fiction.webp,"Retro-futuristic science-fiction concept art, chrome and teal, glowing panels, high-tech: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as polymer, morphing-alloy, and self-repairing nanobrick habitats on an alien world, the wolf a rogue AI core. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,27,Action & Adventure,pigs_27_action-adventure.webp,"Pulp adventure illustration, golden canyon light, dynamic diagonals, matte-painting drama: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as a sandstone temple, a jungle ruin, and a mountain fortress, the wolf a rival treasure-hunter. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,28,Supernatural Horror,pigs_28_ghost-horror.webp,"Supernatural-horror painting, cold blues and fog, one warm window, spectral dread over gore: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow in fog-bound Dread Hollow, the wolf a translucent glowing spectre rising from the mist. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,29,Biography Memoir,pigs_29_biography.webp,"Quiet literary painting, Wyeth stillness, warm ambers, memoir mood: an elderly pig architect looks over his life's work -- the straw cottage, wooden cabin, and brick mansion -- a critical wolf sharpening him from the shadows. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,30,Historical Fiction,pigs_30_historical-fiction.webp,"Historical-fiction oil painting, 1940s occupied village, muted wartime palette, one shaft of cold daylight: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as a resistance printing-press, radio station, and safe house, the wolf a cold officer closing in. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,31,Stage Drama,pigs_31_stage-drama.webp,"Theatrical stage-set painting, painted flats, footlight amber, audience silhouettes below: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow staged as three cutaway houses on boards, the wolf making a grand entrance. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,32,Graphic Novel,pigs_32_graphic-novel.webp,"A comic-book page laid out as three or four rectangular panels with clean white gutters and bold black ink borders, halftone-dot shading and bold flat colors: three anthropomorphic pig brothers and their three houses -- a straw hut, a stick house, and a brick house -- with a big anthropomorphic wolf looming and huffing at the brick house, the action broken across the panels. Dynamic vintage comic art. A landscape comic-book page. Anthropomorphic pigs, wolf, and bears upright and clothed where present. Speech balloons and caption boxes with illegible squiggle lettering, not real words. Avoid: photorealism, gore, legible text."
pigs,33,Ergodic,pigs_33_ergodic.webp,"Recovered case-file collage on aged paper: floor-plans of a straw, stick, and brick house annotated in three contradictory hands, black redaction bars, a pig sketched in the margin, a skeletal wolf prowling the marginalia, coffee stains and torn tape. No legible words, no photorealism. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,34,Transgressive,pigs_34_transgressive.webp,"Xeroxed punk-zine illustration, harsh photocopier grain, ripped-paper collage edges, one spray-paint red accent: three squatter pigs defiant before their straw, stick, and brick squats, the wolf a suited landlord with eviction papers. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,35,Climate Fiction,pigs_35_climate-fiction.webp,"Painterly climate-fiction scene, storm-greys and seedling green, elegiac light: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow on a flooding coast -- a salvage shack, a stilt house, and an earthbag dome ringed by mangroves, the wolf the shape of the coming storm. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,36,Slipstream,pigs_36_slipstream.webp,"Quiet surrealist painting, Magritte sensibility, muted dream palette, flat even light, deadpan impossibility: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow where each house casts the wrong shadow and a wolf-shaped patch of weather hangs unremarked overhead. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,37,Bangsian,pigs_37_bangsian.webp,"Warm classical afterlife oil painting, Elysian gold and rose light, gentle wit, academic finish: three pig shades debate architecture over their translucent straw, stick, and brick houses in a cloud-garden, a sheepish wolf spirit at the golden gates. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,38,Black Comedy,pigs_38_black-comedy.webp,"Deadpan symmetrical editorial-cartoon oil, flat institutional beige, one blood-red accent, straight-faced: the collapsed straw and stick houses reduced to tidy insurance-claim piles beside an intact brick house, a claims-adjuster wolf measuring the chimney with a tape measure. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,39,Magical Realism,pigs_39_magical-realism.webp,"Latin American magical-realism painting, marigold and dusk-blue, matter-of-fact miracle: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow in a sunbaked village where the straw house dissolves into wheat-light and the brick house visibly grieves, the wolf-wind treated as an ordinary season. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,40,Epistolary,pigs_40_epistolary.webp,"Flat-lay illustration of documents on a lamplit desk: building permits and insurance claims for a straw, stick, and brick house, each with a small ink house-vignette, wax seals and a soot-stained final letter signed with a pawprint, an axe and a pot in the corner. Handwriting as illegible scrawl, no legible words. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
red,01,Original Fairy Tale,red_01_original.webp,"Storybook woodcut illustration with warm watercolor wash: inside a cozy cottage, a young girl in a vivid red hooded cloak stands at the foot of a quilted bed, basket of cakes on her arm, eyes wide. In the bed, wearing grandmother's frilled nightcap and shawl, a large grinning wolf pretends to sleep, one yellow eye open. Brothers Grimm engraving warmth, sepia and forest green with the red cloak glowing. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,02,Film Noir,red_02_noir.webp,"High-contrast black-and-white film noir still: a tenement bedroom cut by venetian-blind shadows, where a young woman in a crimson trench coat (the one red accent) stands at the bedside, basket lowered slowly. In the bed, a wolf in a gray suit wears grandmother's wire spectacles and shawl, smoke curling from an ashtray. Hard rim light, 1940s pulp menace. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,03,Cosmic Horror,red_03_cosmic-horror.webp,"Eldritch horror illustration: a cottage bedroom whose walls are subtly larger inside than outside, where a girl in a blood-red cloak stands before a bed. The thing beneath grandmother's nightcap has a smile that continues past where smiles stop, and its shadow on the wall has too many limbs. Sickly greens and violets, the red cloak the only warm thing, Lovecraftian dread. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,04,Gothic Horror,red_04_gothic.webp,"Gothic oil painting: a candlelit manor bedchamber hung with crepe, where a pale girl in scarlet velvet stands at a four-poster bed, iron knife half-drawn from her basket of cakes. In the bed, the family curse wears grandmother's lace cap, eyes glowing ember-red in a wolfish skull-shadow. Claret reds and bone whites, Goya darkness, fog at the windows. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,05,Steampunk,red_05_steampunk.webp,"Steampunk illustration plate: a pneumatic cottage bedroom of brass pipes and gauges, where a girl in a red brass-buttoned coat and goggles stands at a mechanical bed, wrench ready beside her basket. In the bed, a wolf-engineer in grandmother's nightcap and borrowed goggles, articulated metal claws folded on the quilt. Sepia and verdigris, exposed gears, vintage scientific plate. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,06,Cyberpunk,red_06_cyberpunk.webp,"Cyberpunk concept art: a neon-lit micro-apartment where a courier girl in a red hoodie stands at a sleep-pod, delivery basket cuffed to her wrist. In the pod, a chrome wolf-unit wears grandmother's knit cardigan, optic eyes glowing through the disguise, vitals monitor pulsing the wrong rhythm. Rain on the window, hot pink and cyan, Blade Runner glow. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,07,Space Opera,red_07_space-opera.webp,"Space opera concept art: a mining station's sleeping berth, where a cadet in a red flight jacket floats at the bunk, supply pod in hand. Strapped in the bunk, a wolf-pirate in grandmother's patched flight cap, chrome teeth glinting under the reading lamp, stars and asteroids through the porthole. Sapphire and magenta nebulae, hard sci-fi detail. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,08,Western,red_08_western.webp,"Western painted illustration: a homestead bedroom at dusk, where a young woman in a red shawl stands at a brass bed, basket on her hip and hand near her holster. In the bed, a wolfish drifter wears grandmother's nightcap over his dead man's hat, boots still on under the quilt. Amber lamplight, long shadows, sunset through gingham curtains. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,09,Post-Apocalyptic,red_09_post-apocalyptic.webp,"Post-apocalyptic painting: a bunker sleeping-alcove of scavenged metal, where a girl in a faded red windbreaker stands at a cot, water canteens in her basket. On the cot, a raider in a scavenged gas mask has pulled grandmother's knit blanket to his chin, her tin cup in his claw. Ash-grey palette, one guttering lantern, the red windbreaker the last bright thing. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,10,Dystopian,red_10_dystopian.webp,"Dystopian propaganda-poster style: a regulation housing-unit sleeping module, where Subject R-7 in a regulation-red hood stands at attention beside the bed, ration basket presented. In the bed, Wolf-Officer 12 wears grandmother's authorization lanyard over a state-issue nightcap, amber surveillance apertures blinking on every wall. Cold institutional palette, one red hood. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,11,Solarpunk,red_11_solarpunk.webp,"Solarpunk illustration: a sunlit earthen cottage bedroom with living-willow walls, where a girl in a red harvest cloak sets her bread basket at the bedside, unafraid. In the bed, propped on pillows, an old gray wolf convalesces in grandmother's quilted cap while grandmother herself pours tea beside him. Warm greens and honey light, solar moths at the window, gentle. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,12,High Fantasy,red_12_high-fantasy.webp,"High fantasy oil painting: a battlemage's tower bedchamber, where an apprentice in a red ward-woven hood stands at an enchanted bed, her hood glowing hot in warning. In the bed, a werewolf knight wears grandmother's rune-stitched nightcap, black armor heaped beside the bed, moonlight striking through the arrow-slit. Rich jewel tones, glowing runes, epic detail. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,13,Anime,red_13_anime.webp,"Vibrant anime cel style: a dojo guest-room where a pink-haired girl in a red cape skids to a stop at the futon, cake box held protectively, speed lines and a huge sweat-drop. On the futon, Wolf-senpai in grandmother's sleeping yukata and nightcap, comically failing to look small, one fang visible. Cherry blossom light, bold outlines, expressive shoujo eyes. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,14,Superhero Comic,red_14_superhero.webp,"Superhero comic splash page: a city apartment bedroom, where RED HOOD in a crimson cape lands at the bedfoot in a three-point pose, tactical basket at her back. In the bed, the BIG BAD WOLF strains grandmother's floral nightgown over his bulk, claws gripping the headboard, halftone dots and action lines everywhere. Bold primaries, dramatic comic lighting. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,15,Silent Film,red_15_silent-film.webp,"1920s silent film frame, black and white with heavy vignette: a cottage bedroom where a girl in a black-but-clearly-red cloak recoils theatrically at the bedside, basket flying, mouth an O. In the bed, a wolf in an enormous frilled nightcap bats his eyelashes at the camera, wig slipping. Film grain, iris edge, exaggerated pantomime. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,16,1950s Suburban Mystery,red_16_suburban-mystery.webp,"1950s retro illustration, magazine-ad style: a pastel suburban bedroom where a girl in a red Sunday coat stands politely at the bed, casserole basket in both hands, smile faltering. In the bed, beneath a chenille spread, the milkman-who-is-not-the-milkman wears grandmother's reading glasses and hairnet, teeth too many for the smile. Mint and buttercup palette, one wrong shadow. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,17,Cold War Spy,red_17_cold-war-spy.webp,"Cold War spy thriller painting: a Berlin safehouse bedroom in weak lamplight, where Operative Red in a crimson coat stands at the bed, microfilm basket held casually, eyes reading everything. In the bed, a wolf-handler wears grandmother's coat with the collar up — the duress signal worn wrong — cigarette smoke hanging. Cold grays and greens, one red coat. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,18,True Crime Doc,red_18_true-crime.webp,"True-crime documentary reconstruction in the grounded journalistic style of In Cold Blood: a plain period bedroom treated as a documented crime scene, numbered yellow evidence markers on the floor, a plainclothes detective in a rumpled overcoat taking notes by the bed, a girl in a red coat giving her statement near the doorway, and the wolf in grandmother's nightcap and shawl seated matter-of-factly on the bed as the questioned suspect. Natural lamp and window light, muted realistic color, the flat factual tone of a real case being documented. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore, horror, found-footage grain, supernatural dread."
red,19,Courtroom Drama,red_19_courtroom.webp,"Courtroom drama painting: a wood-paneled courtroom where the wolf, still absurdly wearing grandmother's nightcap and shawl, sits in the witness box under oath. The girl in the red cloak points at him from the stand; on the evidence table, the brass bed itself, tagged EXHIBIT. Judge, jury, gaslight sconces, honey-and-oak palette, high drama. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,20,Romance,red_20_romance.webp,"Romance novel cover illustration: a firelit cottage bedroom where a young woman in a flowing red riding cloak stands at the bedside, a rose slipping from her basket. In the bed, a devastatingly handsome wolf-eared stranger caught mid-disguise, grandmother's shawl sliding from his shoulders, expression sheepish and smitten. Golden hour glow, wind-blown fabric, painterly swirl. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,21,Heist,red_21_heist.webp,"Heist film concept art: a mansion bedroom vault-suite where a cat-burglar in a red catsuit crouches at the canopy bed, jewel basket at her hip, laser grid faint across the room. In the bed, a rival thief in wolf-gray silk pajamas and grandmother's sleep mask pretends to sleep, one gloved hand on the heirloom pendant. Cool blues, one red suit, slick lighting. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,22,Detective Mystery,red_22_detective.webp,"Classic detective mystery illustration: a cottage bedroom treated as a crime scene, where a teen sleuth in a red coat examines the bed with a magnifying glass, notebook in her basket. In the bed, a wolf in grandmother's nightcap holds up his paws in protest of innocence; chalk outlines mark a folded nightcap and flour footprints. Foggy London palette, pipe-smoke greys. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
red,23,Survival Wilderness,red_23_survival.webp,"Survival wilderness painting: a snowbound cabin bunk-room at lantern light, where a girl in a red parka stands at the bunk, ice axe loose in one hand, supply basket in the other. In the bunk, wrapped in grandmother's caribou blanket, a gaunt timber wolf watches her with patient arithmetic eyes, frost on its muzzle. Deep blue night, one warm lantern, blowing snow at the door. Square 1:1 frame. Avoid: text, watermarks, human characters where animals are specified, gore."
